country,iso3c,region,Urban population (% of total population),Rural population (% of total population),Proportion of people living below 50 percent of median income (%),"Population, total",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),"Physicians (per 1,000 people)","Life expectancy at birth, total (years)","GDP per capita, PPP (current international $)"
Syrian Arab Republic,SYR,Middle East & North Africa,56.769,43.231,10.1,22125249,4.68026155728827,116.126814790612,1.2874,72.063,NA
Tajikistan,TJK,Europe & Central Asia,27.968,72.032,11.7,9952787,3.47230378787369,70.2504791411485,1.7229,71.594,4885.12570059687
Tanzania,TZA,Sub-Saharan Africa,36.682,63.318,9,65497748,3.10342578495981,71.7863332580718,0.0512,66.201,3096.88452148438
Thailand,THA,East Asia & Pacific,52.889,47.111,10,71697030,15.2123345640143,140.149744563409,0.9499,78.715,20671.6849201656
Timor-Leste,TLS,East Asia & Pacific,32.074,67.926,5.4,1341296,5.20645703856569,88.8326832548756,0.7562,67.737,4828.32547036102
Togo,TGO,Sub-Saharan Africa,43.921,56.079,15.8,8848699,3.13477739127398,158.941514984372,0.0827,61.619,2607.92768076896
Tonga,TON,East Asia & Pacific,23.125,76.875,11.9,106858,6.21294714924081,147.245833333333,0.9461,70.986,6778.50356937661
Trinidad and Tobago,TTO,Latin America & Caribbean,53.34,46.66,18.8,1531044,11.5156025837263,297.400194931774,4.476,72.971,27778.1806029423
Tunisia,TUN,Middle East & North Africa,70.214,29.786,10.5,12356117,9.02090438282512,78.9324536560247,1.3025,73.772,12489.7180681742
Turkiye,TUR,Europe & Central Asia,77.022,22.978,17.3,85341241,8.6356688907301,110.150856905266,1.9275,76.032,37273.6997606048
Turkmenistan,TKM,Europe & Central Asia,53.494,46.506,14.2,6430770,5.14761022804344,13.4953184516843,2.2247,69.264,15628.4577257404
Turks and Caicos Islands,TCA,Latin America & Caribbean,94.047,5.953,NA,45703,10.3265685684591,47.4884210526316,NA,74.587,22914.8119436807
Tuvalu,TUV,East Asia & Pacific,65.527,34.473,13.9,11312,6.43150775759183,373.466666666667,1.1864,64.547,5421.25277505721
Uganda,UGA,Sub-Saharan Africa,26.159,73.841,13.4,47249585,1.69406355632542,228.674336724516,0.1537,62.705,2693.81528630238
Ukraine,UKR,Europe & Central Asia,69.919,30.081,5.1,38000000,18.8083423751287,75.5831118398343,2.9923,69.6478048780488,12671.2392578125
United Arab Emirates,ARE,Middle East & North Africa,87.543,12.457,9.1,9441129,1.82894979133056,131.866305266122,2.6011,78.71,87729.1912638061
United Kingdom,GBR,Europe & Central Asia,84.398,15.602,11.5,66971411,19.1698838148618,277.048319761915,3.0037,80.7,54602.544380158
United States,USA,North America,83.084,16.916,15.5,333287557,17.1281205454528,36.2978363298067,2.61,76.3292682926829,76398.5917422057
Uruguay,URY,Latin America & Caribbean,95.688,4.312,17.3,3422794,15.5794966888888,19.5763912695692,4.9398,75.436,28841.9857002361
Uzbekistan,UZB,Europe & Central Asia,50.466,49.534,10.4,35648100,5.13652203249989,79.234908193068,2.3742,70.862,9532.51186508938
Vanuatu,VUT,East Asia & Pacific,25.816,74.184,12.8,326740,3.73736956391999,26.1802296964725,0.1653,70.449,3289.47966806745
"Venezuela, RB",VEN,Latin America & Caribbean,88.378,11.622,19.9,28301696,8.60852135166248,31.9708259168981,1.73,70.554,17402.2756586571
Vietnam,VNM,East Asia & Pacific,38.766,61.234,13.9,98186856,9.11695858761381,310.973231577167,0.8281,73.618,13456.5514254011
Virgin Islands (U.S.),VIR,Latin America & Caribbean,96.136,3.864,NA,105413,20.4172321922284,302.485714285714,1.645,80.0682926829268,NA
West Bank and Gaza,PSE,Middle East & North Africa,77.291,22.709,12.8,5043612,3.53240869839499,817.05377593361,0.837,73.473,6756.78328459017
"Yemen, Rep.",YEM,Middle East & North Africa,39.188,60.812,10.6,33696614,2.66222891118971,62.4687785290831,0.5251,63.753,3437.42953621684
Zambia,ZMB,Sub-Saharan Africa,45.761,54.239,24.6,20017675,1.7474931529261,26.1950322172749,0.1168,61.223,3894.31025862346
Zimbabwe,ZWE,Sub-Saharan Africa,32.395,67.605,16.8,16320537,3.32184535349542,41.3429598035414,0.199,59.253,2530.64598671745
